LeadTime,ArrivalDateMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,DepositType,Agent,Company,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ChangedRoom,StayChanges,ReservationMonth
17.0,March,2,5,2.0,0.0,0.0,BB,France,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,75.0,0,1,Check-Out,0,No Changes,March
28.0,March,0,3,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,no_Agent,no_Company,Transient,95.0,0,0,Canceled,0,No Changes,February
69.0,June,1,2,2.0,0.0,0.0,BB,Germany,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,126.9,0,0,Check-Out,0,No Changes,April
8.0,February,0,1,2.0,0.0,0.0,SC,Other_Americas,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,67.76,0,0,Check-Out,0,No Changes,February
276.0,July,1,1,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,1,0,A,0,No Deposit,other_Agent,no_Company,Contract,62.0,0,0,Canceled,0,No Changes,October
4.0,February,1,4,3.0,0.0,0.0,BB,Germany,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,134.3,0,0,Check-Out,0,No Changes,February
41.0,August,1,4,1.0,0.0,0.0,SC,Other_Asia,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,142.0,0,0,Canceled,0,No Changes,June
58.0,June,1,2,3.0,0.0,0.0,BB,Spain,Online TA,TA/TO,0,0,0,D,2+,No Deposit,other_Agent,no_Company,Transient,158.53,0,2+,Check-Out,0,No Changes,April
137.0,January,0,2,1.0,0.0,0.0,BB,National,Groups,TA/TO,0,1,0,A,0,Non Refund,other_Agent,no_Company,Transient,70.0,0,0,Canceled,0,No Changes,September
45.0,November,2,6+,1.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,A,1,No Deposit,other_Agent,no_Company,Transient,95.74,0,0,Canceled,1,No Changes,September
138.0,August,2,1,2.0,0.0,0.0,HB,Other_Europe,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,94.5,0,0,Canceled,0,No Changes,April
0.0,October,0,1,2.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient,155.0,0,1,Check-Out,0,No Changes,October
141.0,June,1,2,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,other_Agent,no_Company,Transient-Party,98.1,0,0,Check-Out,0,No Changes,January
2.0,November,0,1,1.0,0.0,0.0,BB,National,Corporate,Corporate,0,0,0,A,0,No Deposit,no_Agent,other_Company,Transient-Party,67.0,0,0,Check-Out,0,No Changes,November
5.0,October,1,1,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,138.0,0,0,Check-Out,0,No Changes,October
101.0,June,0,1,2.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,97.71,0,0,Canceled,0,No Changes,February
274.0,July,2,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,1,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,62.0,0,0,Canceled,0,No Changes,October
12.0,July,1,0,2.0,0.0,0.0,SC,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,109.0,0,2+,Check-Out,0,No Changes,July
177.0,April,2,1,2.0,0.0,0.0,HB,Other_Americas,Groups,TA/TO,0,0,0,A,1,No Deposit,other_Agent,no_Company,Transient-Party,105.33,0,1,Check-Out,0,No Changes,October
18.0,May,1,0,1.0,0.0,0.0,SC,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,120.0,0,1,Check-Out,1,No Changes,May
19.0,May,0,1,2.0,0.0,0.0,SC,United_Kingdom,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,120.0,0,1,Canceled,0,No Changes,April
116.0,February,2,1,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,other_Agent,no_Company,Transient-Party,70.0,0,0,No-Show,0,No Changes,November
42.0,October,2,1,2.0,0.0,0.0,BB,United_Kingdom,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,97.02,0,1,Check-Out,0,No Changes,August
14.0,May,0,3,1.0,0.0,0.0,BB,Germany,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,87.12,0,0,Check-Out,0,No Changes,May
47.0,November,0,2,2.0,0.0,0.0,BB,National,Online TA,TA/TO,0,0,0,Other,1,No Deposit,other_Agent,no_Company,Transient,156.6,0,2+,Check-Out,0,No Changes,October
130.0,May,1,1,2.0,0.0,0.0,SC,France,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,116.1,0,1,Check-Out,0,No Changes,January
5.0,January,1,0,1.0,0.0,0.0,BB,United_Kingdom,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient,107.0,1,0,Check-Out,0,No Changes,January
66.0,October,1,2,2.0,0.0,0.0,BB,National,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Transient-Party,75.0,0,0,Check-Out,0,No Changes,August
174.0,June,0,3,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,other_Agent,no_Company,Transient,110.0,0,0,Canceled,0,No Changes,December
54.0,April,0,2,2.0,0.0,0.0,BB,National,Groups,TA/TO,0,0,0,A,0,Non Refund,no_Agent,no_Company,Transient,110.0,0,0,Canceled,0,No Changes,February
37.0,October,0,3,2.0,0.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,A,0,No Deposit,other_Agent,no_Company,Contract,96.3,0,1,Check-Out,0,No Changes,September
57.0,April,2,1,2.0,1.0,0.0,BB,Other_Europe,Online TA,TA/TO,0,0,0,Other,0,No Deposit,other_Agent,no_Company,Transient,177.3,0,2+,Check-Out,0,No Changes,February
6.0,March,0,2,1.0,0.0,0.0,BB,National,Groups,TA/TO,1,0,3+,A,0,No Deposit,other_Agent,no_Company,Transient-Party,51.0,0,0,Check-Out,0,No Changes,February
